anio,region_label,region_slug,q1,q2,q3,q4,vivienda_m2_eur_corriente,deflactor_hasta_1986,vivienda_m2_eur_a_1986,anio_base,vivienda_m2_pct_desde_base,pib_per_capita_eur_a_1986,pib_per_capita_pct_desde_1995
2004,Cataluña,cataluna,1668.7,1788.3,1838.4,1923.3,1804.675,0.48,866.2439999999999,1995,87.26907374399137,9688.88,35.25721385394998
2005,Cataluña,cataluna,1929.1,1992.8,2037.1,2092.1,2012.7749999999999,0.46,925.8765,1995,100.16073364586498,9935.24,38.69641087208409
2006,Cataluña,cataluna,2176.0,2255.1,2278.3,2316.8,2256.55,0.45,1015.4475000000001,1995,119.524652131099,10225.53,42.748872726257446
2007,Cataluña,cataluna,2357.4,2382.3,2399.8,2450.8,2397.5750000000003,0.44,1054.9330000000002,1995,128.06083017252655,10482.09,46.33046221713455
2008,Cataluña,cataluna,2457.6,2490.5,2470.8,2434.5,2463.35,0.42,1034.607,1995,123.66665117339886,10201.68,42.41592562087306
2009,Cataluña,cataluna,2361.2,2304.5,2260.9,2286.0,2303.15,0.42,967.323,1995,109.12085073173263,9755.29,36.18430053187778
2010,Cataluña,cataluna,2245.8,2253.2,2222.3,2211.1,2233.1,0.41,915.5709999999999,1995,97.93283776494836,9544.72,33.24473357251545
2011,Cataluña,cataluna,2145.2,2132.3,2077.0,2039.5,2098.5,0.4,839.4000000000001,1995,81.46580005253298,9153.42,27.78216743679589
2012,Cataluña,cataluna,1959.9,1895.2,1845.9,1810.8,1877.95,0.39,732.4005000000001,1995,58.33409898901023,8623.37,20.38264487038097
2013,Cataluña,cataluna,1752.9,1691.5,1681.4,1665.8,1697.9,0.38,645.202,1995,39.48307973015772,8445.8,17.903759440481327
2014,Cataluña,cataluna,1657.9,1658.3,1662.9,1671.3,1662.6,0.39,648.414,1995,40.17746637510498,8607.94,20.167241355241305
2015,Cataluña,cataluna,1654.6,1680.8,1682.1,1721.1,1684.6499999999999,0.39,657.0135,1995,42.03655042031795,9064.5,26.54084011558917
2016,Cataluña,cataluna,1735.2,1757.8,1762.1,1796.7,1762.95,0.39,687.5505,1995,48.638195805359885,9390.19,31.087487610458876
2017,Cataluña,cataluna,1829.1,1834.0,1871.4,1892.6,1856.775,0.38,705.5745000000001,1995,52.53471662993321,9577.78,33.706252704758974
2018,Cataluña,cataluna,1906.0,1948.6,1961.4,2002.0,1954.5,0.37,723.165,1995,56.33752119965452,9725.29,35.76549914145717
2019,Cataluña,cataluna,2018.9,2032.0,2028.6,2037.3,2029.2,0.37,750.804,1995,62.312662071291356,9932.49,38.65802074462887
2020,Cataluña,cataluna,2030.2,1986.9,1998.9,1991.6,2001.9,0.37,740.703,1995,60.1289760499301,8907.37,24.347298033029485
2021,Cataluña,cataluna,2016.2,2041.1,2037.6,2090.9,2046.45,0.36,736.722,1995,59.26834303824422,9424.47,31.566037999246156
2022,Cataluña,cataluna,2160.1,2139.6,2129.7,2145.3,2143.675,0.33,707.4127500000001,1995,52.9321189493835,9648.03,34.686945960660594
2023,Cataluña,cataluna,2186.3,2171.6,2198.7,2232.9,2197.375,0.32,703.16,1995,52.0127376279951,10041.48,40.17952619602696
2024,Cataluña,cataluna,2265.6,2287.0,2303.2,2369.9,2306.425,0.32,738.056,1995,59.55673400473229,10559.01,47.40426898217302
2025,Cataluña,cataluna,2453.7,2499.6,2548.0,2641.6,2535.725,0.32,811.432,1995,75.41953427236949,,
2004,Ceuta y Melilla,ceuta_y_melilla,1130.4,1207.8,1169.7,1196.8,1176.175,0.48,564.564,2004,0.0,9688.88,35.25721385394998
2005,Ceuta y Melilla,ceuta_y_melilla,1228.7,1320.9,1369.9,1330.4,1312.4750000000001,0.46,603.7385,2004,6.938894438894461,9935.24,38.69641087208409
2006,Ceuta y Melilla,ceuta_y_melilla,1376.1,1472.0,1543.6,1546.2,1484.475,0.45,668.01375,2004,18.32383042489425,10225.53,42.748872726257446
2007,Ceuta y Melilla,ceuta_y_melilla,1565.5,1610.7,1635.7,1667.3,1619.8,0.44,712.712,2004,26.241134751773053,10482.09,46.33046221713455
2008,Ceuta y Melilla,ceuta_y_melilla,1669.0,1707.9,1749.7,1748.9,1718.875,0.42,721.9275,2004,27.873456330903146,10201.68,42.41592562087306
2009,Ceuta y Melilla,ceuta_y_melilla,1686.8,1699.1,1696.1,1685.8,1691.9499999999998,0.42,710.6189999999999,2004,25.87040618955512,9755.29,36.18430053187778
2010,Ceuta y Melilla,ceuta_y_melilla,1653.6,1701.6,1679.5,1703.9,1684.65,0.41,690.7065,2004,22.3433481412205,9544.72,33.24473357251545
2011,Ceuta y Melilla,ceuta_y_melilla,1630.4,1694.1,1673.8,1670.5,1667.2,0.4,666.8800000000001,2004,18.123011740033036,9153.42,27.78216743679589
2012,Ceuta y Melilla,ceuta_y_melilla,1672.2,1660.2,1644.9,1570.9,1637.0500000000002,0.39,638.4495000000001,2004,13.087178778668163,8623.37,20.38264487038097
2013,Ceuta y Melilla,ceuta_y_melilla,1588.2,1585.0,1571.5,1579.0,1580.925,0.38,600.7515,2004,6.409813590664659,8445.8,17.903759440481327
2014,Ceuta y Melilla,ceuta_y_melilla,1586.6,1556.2,1577.5,1578.2,1574.625,0.39,614.10375,2004,8.774868748273,8607.94,20.167241355241305
2015,Ceuta y Melilla,ceuta_y_melilla,1565.2,1542.8,1558.7,1550.0,1554.175,0.39,606.12825,2004,7.362185686653766,9064.5,26.54084011558917
2016,Ceuta y Melilla,ceuta_y_melilla,1560.8,1577.8,1577.0,1595.8,1577.85,0.39,615.3615,2004,8.997651284885322,9390.19,31.087487610458876
2017,Ceuta y Melilla,ceuta_y_melilla,1628.8,1671.1,1643.6,1618.9,1640.6,0.38,623.428,2004,10.426452979644484,9577.78,33.706252704758974
2018,Ceuta y Melilla,ceuta_y_melilla,1653.1,1654.3,1643.6,1658.1,1652.2749999999999,0.37,611.3417499999999,2004,8.285641663301234,9725.29,35.76549914145717
2019,Ceuta y Melilla,ceuta_y_melilla,1693.5,1673.0,1686.9,1688.5,1685.475,0.37,623.6257499999999,2004,10.461480009352343,9932.49,38.65802074462887
2020,Ceuta y Melilla,ceuta_y_melilla,1674.2,1689.1,1735.6,1710.7,1702.4,0.37,629.888,2004,11.570698804741376,8907.37,24.347298033029485
2021,Ceuta y Melilla,ceuta_y_melilla,1706.2,1732.2,1738.1,1699.8,1719.075,0.36,618.867,2004,9.618572916445256,9424.47,31.566037999246156
